					
					
Ευρωπαϊκές σπουδές, <L1>διεθνής</L1> πολιτική και διπλωματία	European Studies, International Politics and diplomacy				
Η Επιτροπή θα πρέπει να περιλάβει ως αναπόσπαστο τμήμα στο <L1>πακέτο</L1> μεταρρύθμισης του συστήματος διαμετακόμισης, πρόταση για την απαλλαγή των εκκρεμούντων χρεών, όπου προκύπτει ότι αυτά οφείλονται σε λάθη της διοίκησης.	The Commission should include, as an essential part of its reform package for the transit system, a proposal for writing off outstanding debts where these can be shown to be the result of maladministration.				
Η Επιτροπή θα πρέπει να περιλάβει ως αναπόσπαστο τμήμα στο <N1>σύνολο προτάσεων</N1> μεταρρύθμισης του συστήματος διαμετακόμισης, πρόταση για την απαλλαγή των εκκρεμούντων χρεών, όπου προκύπτει ότι αυτά οφείλονται σε λάθη της διοίκησης.	The Commission should include, as an essential part of its reform package for the transit system, a proposal for writing off outstanding debts where these can be shown to be the result of maladministration.				
TRUE					
					
Ελέγχεται από τη <L1>μαφία</L1> και τα κυκλώματα του οργανωμένου εγκλήματος.	It is controlled by the mafia and organised crime syndicates.	Μαφία			
Ελέγχεται από την <N1>εγκληματική οργάνωση</N1> και τα κυκλώματα του οργανωμένου εγκλήματος.	It is controlled by the mafia and organised crime syndicates.				
TRUE					
					
Το <L1>πανόραμα</L1> που δίδεται με τα ανωτέρω κατεστράφη ολοσχερώς με την θέση σε ισχύ της ενιαίας κοινοτικής αγοράς.	The general picture described above was completely obliterated when the single Community market entered into force.				
Το <N1>απεικόνισμα</N1> που δίδεται με τα ανωτέρω κατεστράφη ρλοσχερώς με την θέση σε ισχύ της ενιαίας κοινοτικής αγοράς.	The general picture described above was completely obliterated when the single Community market entered into force.				
TRUE					
					
Το <L1>κοβάλτιο</L1> δεν συμπεριλαμβάνεται στην κατηγορία 44, Παράρτημα 2 της Σύμβασης Διαμετακόμισης, που αφορά τα προϊόντα που απαιτούν αυξημένη ασφάλεια.	Cobalt is not one of the goods listed in Article 44, Annex 2, of the transit convention, in respect of which an increased guarantee is required, but customs in this case asked for 14 guarantee vouchers instead of one. The company representative received the impression that so many vouchers were required owing to the high value of the goods and provided the required number of vouchers.				
Το <N1>κοβάλτιο</N1> δεν συμπεριλαμβάνεται στην κατηγορία 44, Παράρτημα 2 της Σύμβασης Διαμετακόμισης, που αφορά τα προϊόντα που απαιτούν αυξημένη ασφάλεια.	Cobalt is not one of the goods listed in Article 44, Annex 2, of the transit convention, in respect of which an increased guarantee is required, but customs in this case asked for 14 guarantee vouchers instead of one. The company representative received the impression that so many vouchers were required owing to the high value of the goods and provided the required number of vouchers.				
TRUE					
					
Αυτό δεν αποτελεί βέβαιος ευσυνειδησία εκ μέρους τον τελωνειακών υπαλλήλων, συνιστά ωστόσο ένα <L1>μοντέλο</L1> αντίδρασης, είτε αυτό χαρακτηρίζεται ευσυνείδητο είτε ασυνείδητο, κατά την εκτέλεση του καθήκοντος.	This is not necessarily a deliberate action on the part of customs officers, but is. a typical reaction, conscious or otherwise, which is characteristic of the way in which they exercise their duties.	ήρωας μοντέλο πρότυπο			
Αυτό δεν αποτελεί βέβαιος ευσυνειδησία εκ μέρους τον τελωνειακών υπαλλήλων, συνιστά ωστόσο ένα <N1>δείγμα</N1> αντίδρασης, είτε αυτό χαρακτηρίζεται ευσυνείδητο είτε ασυνείδητο, κατά την εκτέλεση του καθήκοντος.	This is not necessarily a deliberate action on the part of customs officers, but is. a typical reaction, conscious or otherwise, which is characteristic of the way in which they exercise their duties.				
TRUE					
					
Εάν η εισαγωγή μπορούσε να έχει τούτου να αναφέρει το <L1>νούμερο</L1> του ΦΠΑ του προορισμού και να καταγράφει την αποστολή για στατιστικούς σκοπούς.	If the import could be declared and customs duties only paid in the country of introduction, with VAT deferred until arrival at the final destination, this could become a community status movement.				
Εάν η εισαγωγή μπορούσε να έχει τούτου να αναφέρει το <N1>νούμερο</N1> του ΦΠΑ του προορισμού και να καταγράφει την αποστολή για στατιστικούς σκοπούς.	If the import could be declared and customs duties only paid in the country of introduction, with VAT deferred until arrival at the final destination, this could become a community status movement.				
