					
					
关于 应用 空间 技术 预防 <L1>和</L1> 对抗 自然灾害 讲习班 报告	APPLICATIONS OF SPACE TECHNIQUES TO PREVENT AND COMBAT NATURAL DISASTERS, ORGANIZED IN COOPERATION				
-   1996 : 在 <N1></N1> 中心 地区 购买 800 英亩 的 土地	We think he’s on safe ground using the 39.7 weeks figure, so we rate his statement True.				
FALSE					
					
<L1>海牙</L1> 法院 裁定 荷兰 军队 不 应该 将 这三名 男子 交给 波斯尼亚 塞族 部队	When I first met John, he immediately barked that I was half an hour late.				
<N1></N1> 法院 裁定 荷兰 军队 不 应该 将 这三名 男子 交给 波斯尼亚 塞族 部队	When I first met John, he immediately barked that I was half an hour late.				
FALSE					
					
<L1>利物浦</L1> 议会 让 残疾人 步行 到 13 楼 评估 办公室	And we are still investigating the type of bullets used,” he added.				
<N1></N1> 议会 让 残疾人 步行 到 13 楼 评估 办公室	And we are still investigating the type of bullets used,” he added.				
FALSE					
					
政府 在 竞争 中 充分利用 <L1>哈珀</L1>   -   现在 是 制裁	In this context, the importance of equitable burden-sharing among developed countries was recognized.				
政府 在 竞争 中 充分利用 <N1></N1>   -   现在 是 制裁	In this context, the importance of equitable burden-sharing among developed countries was recognized.				
FALSE					
					
<L1>以太</L1> 坊 正在 对 核心 协议 开展 更快 和 一致性 更强 的 技术 工作	There’s not many opportunities that meet all the criteria that Ellen and I would be looking for.				
<N1>以太</N1> 坊 正在 对 核心 协议 开展 更快 和 一致性 更强 的 技术 工作	There’s not many opportunities that meet all the criteria that Ellen and I would be looking for.				
TRUE					
					
但 如果 <L1>湯姆</L1> 溫斯頓 - 最初 的 劊子 手 是 監獄 , 面具 背后 的 新人 是 誰 ?	Thanks, Burton, but there’s nothing you can do.				
但 如果 <N1></N1> 溫斯頓 - 最初 的 劊子 手 是 監獄 , 面具 背后 的 新人 是 誰 ?	Thanks, Burton, but there’s nothing you can do.				
FALSE					
					
大 菩萨 到 <L1>娑婆</L1> 世界 ?	They also recently donated $ 214 million to another non-profit company.				
大 菩萨 到 <N1>旋转</N1> 世界 ?	They also recently donated $ 214 million to another non-profit company.				
TRUE					
					
这 就是 为什么 你 应该 总是 看着 自己 记住 <L1>仁波切</L1> 大师 的话 :	Originally I have to specify 0x01, but since 0x02 was specified, the screen was broken.				
这 就是 为什么 你 应该 总是 看着 自己 记住 <N1></N1> 大师 的话 :	Originally I have to specify 0x01, but since 0x02 was specified, the screen was broken.				
FALSE					
					
他们 都 被 改变 以 纠正 <L1>卡扎菲</L1> 的 愿景	In early 2018, Robinhood Crypto started trading in just four states.				
他们 都 被 改变 以 纠正 <N1></N1> 的 愿景	In early 2018, Robinhood Crypto started trading in just four states.				
FALSE					
					
<L1>阿布扎比</L1> 推出 六个 历史性 的 油气 授权 开采 机会	Researchers are urging universities across the United States to find a new way to identify the next generation of scientists.				
<N1></N1> 推出 六个 历史性 的 油气 授权 开采 机会	Researchers are urging universities across the United States to find a new way to identify the next generation of scientists.				
FALSE					
					
为什么 <L1>福斯特</L1> 曾经 让 她 出去 他们 的 视线 吗 ?	To ‘celebrate’ their arrest, other criminals posted a video on Youtube, in revenge for unpaid debts:				
为什么 <N1></N1> 曾经 让 她 出去 他们 的 视线 吗 ?	To ‘celebrate’ their arrest, other criminals posted a video on Youtube, in revenge for unpaid debts:				
FALSE					
					
26 <L1>耶和華</L1> 必為 你 的 信心	10 Days In Dublin Is the Capital's Largest Feast Of Art				
26 <N1>耶和華</N1> 必為 你 的 信心	10 Days In Dublin Is the Capital's Largest Feast Of Art				
TRUE					
					
保护 员工 和 利益 相关 <L1>方</L1> 免受 不必要 的 风险	You said ‘God is cruel’ the way a person who’s lived his whole life in Tahiti might say ‘Snow is cold’.				
保护 员工 和 利益 相关 <N1></N1> 免受 不必要 的 风险	You said ‘God is cruel’ the way a person who’s lived his whole life in Tahiti might say ‘Snow is cold’.				
FALSE					
					
好 吧 , 你 想 明天 晚上 在 我家 听 萨拉 <L1>塞特</L1> 的 演奏 吗 ?	They call it -- they used to call it England, different parts.				
好 吧 , 你 想 明天 晚上 在 我家 听 萨拉 <N1></N1> 的 演奏 吗 ?	They call it -- they used to call it England, different parts.				
FALSE					
					
富裕 的 美國人 比 他們 認為 他們 對 食物 和 <L1>營養</L1> 的 了解 要少	Women in Print celebrates the lives of women who lived and worked at Dunham Massey				
富裕 的 美國人 比 他們 認為 他們 對 食物 和 <N1></N1> 的 了解 要少	Women in Print celebrates the lives of women who lived and worked at Dunham Massey				
FALSE					
